dataset,window_size,n_estimators,max_depth,train_accuracy,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,avg_nodes_per_tree,total_nodes,avg_leaves_per_tree,total_leaves,model_file,feature_list_file
ws8,8,5,32,0.9978695849615123,0.990509392496468,0.99310699818723,0.9748890548793884,0.9839137038392035,0.9906802515907221,107062,308,1143,44375,8318.6,41593,4159.8,20799,random_forest_ws8_trees5_depth32.pkl,feature_list_ws8_trees5_depth32.txt
ws8,8,10,2,0.8860564335730985,0.8857464287583068,0.7999615022670887,0.8217188804429018,0.8106942367297397,0.9573915404297704,98017,9353,8115,37403,7.0,70,4.0,40,random_forest_ws8_trees10_depth2.pkl,feature_list_ws8_trees10_depth2.txt
ws8,8,10,4,0.9853505934327154,0.9849824708283188,0.9973076215022091,0.9521288281558944,0.9741947085665476,0.9892993134122718,107253,117,2179,43339,22.8,228,11.9,119,random_forest_ws8_trees10_depth4.pkl,feature_list_ws8_trees10_depth4.txt
ws8,8,10,8,0.9895861949105506,0.9892535712416932,0.9991808314560721,0.9646952853816073,0.981635276365059,0.9948159947924766,107334,36,1607,43911,170.2,1702,85.6,856,random_forest_ws8_trees10_depth8.pkl,feature_list_ws8_trees10_depth8.txt
ws8,8,10,16,0.9929023541086175,0.9914447177018471,0.9959169022299995,0.9752625335032294,0.9854815077920348,0.9959229885927714,107188,182,1126,44392,1909.2,19092,955.1,9551,random_forest_ws8_trees10_depth16.pkl,feature_list_ws8_trees10_depth16.txt
ws8,8,10,32,0.9983769601219943,0.9911111401810475,0.9956895584042386,0.974361790939848,0.9849102275124638,0.9919894124440076,107178,192,1167,44351,8437.6,84376,4219.3,42193,random_forest_ws8_trees10_depth32.pkl,feature_list_ws8_trees10_depth32.txt
ws8,8,25,2,0.8560428101295628,0.8550115116948355,0.6946662887440186,0.9153301990421372,0.7898762974548557,0.9662163329315178,89057,18313,3854,41664,7.0,175,4.0,100,random_forest_ws8_trees25_depth2.pkl,feature_list_ws8_trees25_depth2.txt
ws8,8,25,4,0.9844844115289092,0.984001360473026,0.9972064459528097,0.9489213058570236,0.9724648775216138,0.9905716963535407,107249,121,2325,43193,24.6,615,12.8,320,random_forest_ws8_trees25_depth4.pkl,feature_list_ws8_trees25_depth4.txt
ws8,8,25,8,0.9898889381002304,0.9895152006697714,0.9992042741843811,0.9655520892833604,0.9820899858105315,0.9951196796125547,107335,35,1568,43950,197.0,4925,99.0,2475,random_forest_ws8_trees25_depth8.pkl,feature_list_ws8_trees25_depth8.txt
ws8,8,25,16,0.9930705447695508,0.9915755324158861,0.9964085297418631,0.9752185948416011,0.9856996935648621,0.9962009500416845,107210,160,1128,44390,2016.12,50403,1008.56,25214,random_forest_ws8_trees25_depth16.pkl,feature_list_ws8_trees25_depth16.txt
